shell,pred.type,mean_res
0,wcnSC.RSA.dist_active.res,-0.0355304651634799
0,wcnSC.RSA.dist_active.res,-0.0106143311888358
0,wcnSC.RSA.dist_active.res,-0.0678236656357971
0,wcnSC.RSA.res,-0.459422152547448
0,wcnSC.RSA.res,-0.340193490023312
0,wcnSC.RSA.res,-0.306656587405759
1,wcnSC.RSA.dist_active.res,-0.0262681658062835
1,wcnSC.RSA.dist_active.res,0.0190126219062737
1,wcnSC.RSA.dist_active.res,-0.000908225347124497
1,wcnSC.RSA.res,-0.24028830953469
1,wcnSC.RSA.res,-0.162185351241888
1,wcnSC.RSA.res,-0.142689289821757
2,wcnSC.RSA.dist_active.res,-0.00982646334695504
2,wcnSC.RSA.dist_active.res,0.00128062271452217
2,wcnSC.RSA.dist_active.res,-0.00377488144448152
2,wcnSC.RSA.res,-0.117599686269145
2,wcnSC.RSA.res,-0.106973741930688
2,wcnSC.RSA.res,-0.10150177357165
3,wcnSC.RSA.dist_active.res,-0.00130355998007498
3,wcnSC.RSA.dist_active.res,-0.0126527576526712
3,wcnSC.RSA.dist_active.res,-0.0123410883343493
3,wcnSC.RSA.res,-0.0119187593624897
3,wcnSC.RSA.res,-0.0511156942058771
3,wcnSC.RSA.res,-0.0739493215434252
4,wcnSC.RSA.dist_active.res,0.0387056376993354
4,wcnSC.RSA.dist_active.res,-0.00944434625657277
4,wcnSC.RSA.dist_active.res,-0.00899775490800979
4,wcnSC.RSA.res,0.114968313617858
4,wcnSC.RSA.res,0.0113792618077359
4,wcnSC.RSA.res,-0.0349609567368551
5,wcnSC.RSA.dist_active.res,0.00118798837293224
5,wcnSC.RSA.dist_active.res,0.0249116078632261
5,wcnSC.RSA.dist_active.res,0.008478402022255
5,wcnSC.RSA.res,0.1492081078254
5,wcnSC.RSA.res,0.108652568140087
5,wcnSC.RSA.res,0.0235085090590728
6,wcnSC.RSA.dist_active.res,-0.0137645097796058
6,wcnSC.RSA.dist_active.res,0.0251666581523669
6,wcnSC.RSA.dist_active.res,0.0345778417681111
6,wcnSC.RSA.res,0.181816477824865
6,wcnSC.RSA.res,0.17609839078272
6,wcnSC.RSA.res,0.0947246715820965
7,wcnSC.RSA.dist_active.res,0.00172097108328738
7,wcnSC.RSA.dist_active.res,-0.0112416884313756
7,wcnSC.RSA.dist_active.res,0.0336316035412307
7,wcnSC.RSA.res,0.200697355650844
7,wcnSC.RSA.res,0.193113550062219
7,wcnSC.RSA.res,0.13500243998004
8,wcnSC.RSA.dist_active.res,-0.124011963351006
8,wcnSC.RSA.dist_active.res,-0.115708174681019
8,wcnSC.RSA.dist_active.res,0.0114361602930048
8,wcnSC.RSA.res,0.0622369141546173
8,wcnSC.RSA.res,0.0915907913040105
8,wcnSC.RSA.res,0.144759766120821
9,wcnSC.RSA.dist_active.res,-0.340641605506973
9,wcnSC.RSA.dist_active.res,-0.0404750057778562
9,wcnSC.RSA.dist_active.res,-0.0391287511208359
9,wcnSC.RSA.res,-0.126478701111627
9,wcnSC.RSA.res,0.133846515672149
9,wcnSC.RSA.res,0.120726142593076
10,wcnSC.RSA.dist_active.res,-0.109022178228821
10,wcnSC.RSA.dist_active.res,-0.0972972983646831
10,wcnSC.RSA.dist_active.res,-0.046950179280901
10,wcnSC.RSA.res,0.143977028137788
10,wcnSC.RSA.res,0.0612652571822418
10,wcnSC.RSA.res,0.134521913118631
11,wcnSC.RSA.dist_active.res,-0.500357967876875
11,wcnSC.RSA.dist_active.res,-0.118804670873697
11,wcnSC.RSA.dist_active.res,-0.0778536827147123
11,wcnSC.RSA.res,-0.146242793208069
11,wcnSC.RSA.res,0.0209475449231793
11,wcnSC.RSA.res,0.0774730708363838
12,wcnSC.RSA.dist_active.res,-0.645547287912352
12,wcnSC.RSA.dist_active.res,-0.394542405752444
12,wcnSC.RSA.dist_active.res,-0.189001740231738
12,wcnSC.RSA.res,-0.233082955591371
12,wcnSC.RSA.res,-0.277845751212098
12,wcnSC.RSA.res,-0.039189688144513
13,wcnSC.RSA.dist_active.res,-0.618220085345776
13,wcnSC.RSA.dist_active.res,-0.0881094351609513
13,wcnSC.RSA.res,-0.822912241331585
13,wcnSC.RSA.res,0.0292308831024686
14,wcnSC.RSA.dist_active.res,-0.0623614020200468
14,wcnSC.RSA.res,0.0686391890520171
15,wcnSC.RSA.dist_active.res,-0.0130706787404963
15,wcnSC.RSA.res,0.147150583438591
16,wcnSC.RSA.dist_active.res,0.0663650211308194
16,wcnSC.RSA.res,0.246209879056688
17,wcnSC.RSA.dist_active.res,0.104155173435153
17,wcnSC.RSA.res,0.305270737838088
18,wcnSC.RSA.dist_active.res,-0.00910157511325982
18,wcnSC.RSA.res,0.229527204697005
19,wcnSC.RSA.dist_active.res,-0.0199469124061527
19,wcnSC.RSA.res,0.223199713737776
20,wcnSC.RSA.dist_active.res,-0.0103955434187632
20,wcnSC.RSA.res,0.189516893535257
21,wcnSC.RSA.dist_active.res,0.105951269686547
21,wcnSC.RSA.res,0.287689024454625
22,wcnSC.RSA.dist_active.res,0.0766095120235744
22,wcnSC.RSA.res,0.242950917602566
23,wcnSC.RSA.dist_active.res,-0.143236435400899
23,wcnSC.RSA.res,0.0121509924924774
24,wcnSC.RSA.dist_active.res,0.0838044416079584
24,wcnSC.RSA.res,0.252882982965655
25,wcnSC.RSA.dist_active.res,0.366023948399554
25,wcnSC.RSA.res,0.554770235817571
